minecraft:missingno	x=68	y=0	w=16	h=16
minecraft:trims/entity/humanoid_leggings/dune_diamond_darker	x=816	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_emerald	x=884	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_gold	x=952	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_gold_darker	x=0	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_iron	x=68	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_iron_darker	x=136	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_lapis	x=204	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_netherite	x=272	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_netherite_darker	x=340	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_quartz	x=408	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_redstone	x=476	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_resin	x=544	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_trim_palette	x=612	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_amethyst	x=680	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_copper	x=748	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_copper_darker	x=816	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_diamond	x=884	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_diamond_darker	x=952	y=908	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_emerald	x=0	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_gold	x=68	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_gold_darker	x=136	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_iron	x=204	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_iron_darker	x=272	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_lapis	x=340	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_netherite	x=408	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_netherite_darker	x=476	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_quartz	x=544	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_redstone	x=612	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_resin	x=680	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_trim_palette	x=748	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_amethyst	x=816	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_copper	x=884	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_copper_darker	x=952	y=944	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_diamond	x=0	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_diamond_darker	x=68	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_emerald	x=136	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_gold	x=204	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_gold_darker	x=272	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_iron	x=340	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_iron_darker	x=408	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_lapis	x=476	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_netherite	x=544	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_netherite_darker	x=612	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_quartz	x=680	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_redstone	x=748	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_resin	x=816	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_trim_palette	x=884	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_amethyst	x=952	y=980	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_copper	x=1024	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_copper_darker	x=1024	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_diamond	x=1024	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_diamond_darker	x=1024	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_emerald	x=1024	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_gold	x=1024	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_gold_darker	x=1024	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_iron	x=1024	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_iron_darker	x=1024	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_lapis	x=1024	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_netherite	x=1024	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_netherite_darker	x=1024	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_quartz	x=1024	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_redstone	x=1024	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_resin	x=1024	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_trim_palette	x=1024	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_amethyst	x=1024	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_copper	x=1024	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_copper_darker	x=1024	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_diamond	x=1024	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_diamond_darker	x=1024	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_emerald	x=1024	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_gold	x=1024	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_gold_darker	x=1024	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_iron	x=1024	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_iron_darker	x=1024	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_lapis	x=1024	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_netherite	x=1024	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_netherite_darker	x=1092	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_quartz	x=1092	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_redstone	x=1092	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_resin	x=1092	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_trim_palette	x=1092	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_amethyst	x=1092	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_copper	x=1092	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_copper_darker	x=1092	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_diamond	x=1092	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_diamond_darker	x=1092	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_emerald	x=1092	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_gold	x=1092	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_gold_darker	x=1092	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_iron	x=1092	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_iron_darker	x=1092	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_lapis	x=1092	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_netherite	x=1092	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_netherite_darker	x=1092	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_quartz	x=1092	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_redstone	x=1092	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_resin	x=1092	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_trim_palette	x=1092	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_amethyst	x=1092	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_copper	x=1092	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_copper_darker	x=1092	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_diamond	x=1092	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_diamond_darker	x=1092	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_emerald	x=1092	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_gold	x=1160	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_gold_darker	x=1160	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_iron	x=1160	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_iron_darker	x=1160	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_lapis	x=1160	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_netherite	x=1160	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_netherite_darker	x=1160	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_quartz	x=1160	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_redstone	x=1160	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_resin	x=1160	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_trim_palette	x=1160	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_amethyst	x=1160	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_copper	x=1160	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_copper_darker	x=1160	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_diamond	x=1160	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_diamond_darker	x=1160	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_emerald	x=1160	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_gold	x=1160	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_gold_darker	x=1160	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_iron	x=1160	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_iron_darker	x=1160	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_lapis	x=1160	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_netherite	x=1160	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_netherite_darker	x=1160	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_quartz	x=1160	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_redstone	x=1160	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_resin	x=1160	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_trim_palette	x=1160	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_amethyst	x=1228	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_copper	x=1228	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_copper_darker	x=1228	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_diamond	x=1228	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_diamond_darker	x=1228	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_emerald	x=1228	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_gold	x=1228	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_gold_darker	x=1228	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_iron	x=1228	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_iron_darker	x=1228	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_lapis	x=1228	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_netherite	x=1228	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_netherite_darker	x=1228	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_quartz	x=1228	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_redstone	x=1228	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_resin	x=1228	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_trim_palette	x=1228	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_amethyst	x=1228	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_copper	x=1228	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_copper_darker	x=1228	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_diamond	x=1228	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_diamond_darker	x=1228	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_emerald	x=1228	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_gold	x=1228	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_gold_darker	x=1228	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_iron	x=1228	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_iron_darker	x=1228	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_lapis	x=1228	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_netherite	x=1296	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_netherite_darker	x=1296	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_quartz	x=1296	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_redstone	x=1296	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_resin	x=1296	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_trim_palette	x=1296	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_amethyst	x=1296	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_copper	x=1296	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_copper_darker	x=1296	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_diamond	x=1296	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_diamond_darker	x=1296	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_emerald	x=1296	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_gold	x=1296	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_gold_darker	x=1296	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_iron	x=1296	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_iron_darker	x=1296	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_lapis	x=1296	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_netherite	x=1296	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_netherite_darker	x=1296	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_quartz	x=1296	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_redstone	x=1296	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_resin	x=1296	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_trim_palette	x=1296	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_amethyst	x=1296	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_copper	x=1296	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_copper_darker	x=1296	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_diamond	x=1296	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_diamond_darker	x=1296	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_emerald	x=1364	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_gold	x=1364	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_gold_darker	x=1364	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_iron	x=1364	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_iron_darker	x=1364	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_lapis	x=1364	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_netherite	x=1364	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_netherite_darker	x=1364	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_quartz	x=1364	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_redstone	x=1364	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_resin	x=1364	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_trim_palette	x=1364	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_amethyst	x=1364	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_copper	x=1364	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_copper_darker	x=1364	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_diamond	x=1364	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_diamond_darker	x=1364	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_emerald	x=1364	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_gold	x=1364	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_gold_darker	x=1364	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_iron	x=1364	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_iron_darker	x=1364	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_lapis	x=1364	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_netherite	x=1364	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_netherite_darker	x=1364	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_quartz	x=1364	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_redstone	x=1364	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_resin	x=1364	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_trim_palette	x=1432	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_amethyst	x=1432	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_copper	x=1432	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_copper_darker	x=1432	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_diamond	x=1432	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_diamond_darker	x=1432	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_emerald	x=1432	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_gold	x=1432	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_gold_darker	x=1432	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_iron	x=1432	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_iron_darker	x=1432	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_lapis	x=1432	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_netherite	x=1432	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_netherite_darker	x=1432	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_quartz	x=1432	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_redstone	x=1432	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_resin	x=1432	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_trim_palette	x=1432	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_amethyst	x=1432	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_copper	x=1432	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_copper_darker	x=1432	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_diamond	x=1432	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_diamond_darker	x=1432	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_emerald	x=1432	y=828	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_gold	x=1432	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_gold_darker	x=1432	y=900	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_iron	x=1432	y=936	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_iron_darker	x=1432	y=972	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_lapis	x=1500	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_netherite	x=1500	y=36	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_netherite_darker	x=1500	y=72	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_quartz	x=1500	y=108	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_redstone	x=1500	y=144	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_resin	x=1500	y=180	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_trim_palette	x=1500	y=216	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_amethyst	x=1500	y=252	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_copper	x=1500	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_copper_darker	x=1500	y=324	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_diamond	x=1500	y=360	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_diamond_darker	x=1500	y=396	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_emerald	x=1500	y=432	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_gold	x=1500	y=468	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_gold_darker	x=1500	y=504	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_iron	x=1500	y=540	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_iron_darker	x=1500	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_lapis	x=1500	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_netherite	x=1500	y=648	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_netherite_darker	x=1500	y=684	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_quartz	x=1500	y=720	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_redstone	x=1500	y=756	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_resin	x=1500	y=792	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_trim_palette	x=1500	y=828	w=64	h=32
